"","TA.x","year","ratio_mean","P5","P25","P50","P75","P95"
"888",44,2005,2.02032988917523,0.531501498486057,1.23546180423772,1.95770140451511,2.60903450303887,3.9188297103927
"889",44,2006,1.8872321456799,0.509763310578602,1.33828125481188,1.94143157262194,2.36710356270019,3.1951084457515
"890",44,2007,1.97363304933389,0.540156091002473,1.43720961536842,2.08768263153175,2.53771820946609,3.40116820159489
"891",44,2008,1.97196677664003,0.620813382930756,1.61873891632617,1.96073815732441,2.29487533219832,3.05271305612337
"892",44,2009,1.65030430857145,0.497002785872996,1.22780435532237,1.68648091792874,2.0793681901158,2.84602515592398
"893",44,2010,1.6593960022713,0.532945497216864,1.29141368713511,1.68592678633373,2.03880317415263,2.73161355294846
"894",44,2011,1.61446586929334,0.512643832877792,1.29815585081217,1.62258151342598,1.97837486200914,2.6514553078932
"895",44,2012,1.68362325296588,0.58711079284958,1.38462689516523,1.71339800927177,2.02036358931711,2.67936102379293
"896",44,2013,1.61516534919516,0.586333671511239,1.31368669585321,1.65769543356691,1.9418299938254,2.52051002514689
"897",44,2014,1.59257418842914,0.604402089810484,1.24200490905204,1.60804645149274,1.92172714778279,2.60476157436334
"898",44,2015,1.32002564006647,0.534623778340782,1.06059937765337,1.31389230491985,1.58986684079086,2.06343181704965
"899",44,2016,1.49244137330632,0.772810438649917,1.18769228763133,1.46613390284378,1.73541329939608,2.292386731594
"900",44,2017,1.60408097304634,1.00526515151556,1.27592068208986,1.57755799195162,1.89495375298163,2.31200861919394
"901",45,1993,1.32886184949763,0.788223133966566,1.12306406777756,1.31102473986996,1.49814307232825,1.86875610601307
"902",45,1994,1.2983102564061,0.744248190074423,1.0662295545875,1.26857318625431,1.45565749235474,1.86180253123162
"903",45,1995,1.35220774578083,0.719058012370245,1.09701492537313,1.34494690302659,1.58953338722127,1.97064640249047
"904",45,1996,1.22759761904774,0.674838082743916,1.02326480782339,1.20826947532162,1.42778504166631,1.83155790880821
"905",45,1997,1.26080692316286,0.693061912174973,1.06675546231246,1.24578119026181,1.43139000396243,1.81439020328692
"906",45,1998,1.35087873920336,0.668805538417518,1.14572250781992,1.35930642862994,1.56588687322713,1.99178236768372
"907",45,1999,1.45731941308367,0.455996952430671,1.20737250310895,1.4948268544414,1.74606142252486,2.12424062463853
"908",45,2000,1.46161608583872,0.425030154564715,1.19883493942305,1.51954557278192,1.75352404333139,2.12058062873049
"909",45,2001,1.4415974330093,0.468924495517608,1.22521562182818,1.4886827458256,1.71322523391229,2.04223847975459
"910",45,2002,1.52767372736996,0.514858853819453,1.28611167950063,1.55780277179514,1.79706908418481,2.21929812274147
"911",45,2003,1.49346146938909,0.410822707295348,1.25229638785024,1.57638082892731,1.83237419882722,2.19887274506535
"912",45,2004,1.60865818084282,0.381661583070973,1.32168257109286,1.69486259450693,1.95858424687105,2.54792871592766
"913",45,2005,2.41958860502994,0.508156248842617,1.84319973559857,2.27511737089202,2.63251336444415,3.50345062463899
"914",45,2006,1.86817072919715,0.495216496078652,1.61799242471483,1.97361629416858,2.24514080589387,2.73288753444007
"915",45,2007,2.5902026718248,0.520748762893411,1.78898442833474,2.16588737948813,2.56204621250306,3.35355286573036
"916",45,2008,2.00191521578172,0.769209506737709,1.76186146217234,2.04823227776392,2.33022500286934,2.83952427545828
"917",45,2009,1.86270802799005,0.591909215103126,1.6027262072047,1.94593962695484,2.22802728951258,2.74558532475619
"918",45,2010,1.95032451328659,0.683669302657366,1.70603253723234,2.00144368006824,2.30022762632573,2.79384029025773
"919",45,2011,1.97571341017802,0.684574000893189,1.59591474810746,1.85699739363467,2.17559840203419,2.71438944057714
"920",45,2012,1.67566242040809,0.468453573199576,1.4083066889601,1.70477316922562,1.94610691133157,2.50101038436916
"921",45,2013,1.70195442928866,0.645495796663407,1.45940340827953,1.74029023151061,1.98041229847924,2.37782434466878
"922",45,2014,1.68406284603758,0.662008439329209,1.40035240656589,1.68382455364401,1.90252979901572,2.28721792061576
"923",45,2015,1.62126033773533,0.894376458518127,1.39608625782127,1.64461036170867,1.8773407894237,2.22738210164166
"924",45,2016,1.76225120822654,1.04129337160711,1.50095170116584,1.77281525270773,2.00912052117264,2.43816831664167
"925",45,2017,1.93793181624826,1.28582494653818,1.63577458924336,1.94213721455968,2.24411377084122,2.67043867001956
"926",46,1993,1.37302605788596,0.735606482148252,1.04308012293346,1.2942708464154,1.63527590672568,2.2311078195486
"927",46,1994,1.28985137313653,0.686479153645562,0.976459072296515,1.22028913287551,1.52777664900911,2.1242944286034
"928",46,1995,1.31296283468658,0.703427367065941,0.991454426304795,1.23591779113223,1.57299684542587,2.15876453979969
"929",46,1996,1.38950346802443,0.709314288113767,1.03287941816067,1.32027212249332,1.655484691528,2.33440838176999
"930",46,1997,1.38215283133159,0.674451567482734,0.985220534836303,1.29047320637056,1.71399777040443,2.34312571173183
"931",46,1998,1.45908510124278,0.701046375518611,1.05097848936863,1.36079804649353,1.77920777848661,2.52043323668266
"932",46,1999,1.51245405763426,0.686872448785935,1.08626705532842,1.42826685748229,1.85930324345841,2.60706025614374
"933",46,2000,1.71710684281954,0.79992520466596,1.22433876642456,1.59672608041811,2.07364938602552,2.94952124190244
"934",46,2001,1.6698051111071,0.750111860718311,1.17038879254566,1.58315564231858,2.04104408900262,2.90649529332583
"935",46,2002,1.59797199316414,0.74418550235065,1.15565363551403,1.50733590733591,1.95517704433336,2.71420323949248
"936",46,2003,1.69108342851008,0.809917265593847,1.20983607606207,1.60208080164773,2.06994141390958,2.83888628933941
"937",46,2004,1.87965482140181,0.832509815762183,1.36138491078727,1.75383782494485,2.30974660366099,3.21957033995989
"938",46,2005,1.94775568922261,0.915022923503119,1.42677156362681,1.83459463199691,2.34890367716066,3.30444852731319
"939",46,2006,1.96131044403151,0.990869824312685,1.51817881751042,1.8547746726376,2.32635273246173,3.12080479257692
"940",46,2007,2.26774983446681,1.11232732271212,1.76760639058492,2.16742286751362,2.66847559909437,3.67902261987034
"941",46,2008,2.02546625476949,1.06497369704156,1.54998577587362,1.92459431150605,2.38750154219933,3.28899420734159
"942",46,2009,2.00206057138191,1.02887322440477,1.54225928150726,1.93505918881748,2.39189234872851,3.1862963074457
"943",46,2010,1.96397139541759,0.990780052531808,1.52421997939145,1.90470917298888,2.35422475754779,3.15704175739747
"944",46,2011,2.02979976651115,0.983577417985678,1.55355174864547,1.95602876520804,2.49650014535102,3.25537593056088
"945",46,2012,1.86594844068428,0.938890287615557,1.40790685218206,1.77085550308001,2.24960306729461,3.06379565896312
"946",46,2013,1.8338446081123,0.924682695260581,1.41731178651646,1.75771994563524,2.19521656217008,2.96997896046808
"947",46,2014,1.8050489704302,0.910069670260986,1.37704319533873,1.72143575118031,2.20008312861575,2.91807534633984
"948",46,2015,1.65768038335159,0.906832260108332,1.25641345905812,1.56906309154734,1.97898818901894,2.63957497048405
"949",46,2016,1.89055001470618,1.04416617621952,1.46607967297012,1.79584513579915,2.21476170726438,3.09314666833358
"950",46,2017,2.05040194964749,1.14399153628993,1.56697675737298,1.94088195813047,2.450006692368,3.2997960939829
"951",47,1993,1.6377990207098,0.700924054829912,1.27495844027742,1.6027107638608,1.93031228558615,2.61173042670956
"952",47,1994,1.64217949280912,0.592428088633026,1.28129103637337,1.60248516217442,1.97730098205766,2.66964678134709
"953",47,1995,1.64217336495385,0.71922377992789,1.24372209811201,1.59605847799746,1.96795326610167,2.73036272868773
"954",47,1996,1.74083709506286,0.810229566113564,1.32147550027911,1.67300378423654,2.09064472206439,2.90591262712969
"955",47,1997,1.82739704398682,0.601625385201235,1.37557007078723,1.76598297396151,2.23078267778446,3.08374807416697
"956",47,1998,1.76121657047565,0.566711958537623,1.33598062434731,1.70069023476766,2.13626122383229,2.9560979168981
"957",47,1999,1.89895810655427,0.535806173899505,1.43411802857659,1.83497896574495,2.33516148488617,3.1700358578057
"958",47,2000,1.97109286627914,0.604896756435603,1.48016487985281,1.91153857090673,2.39532027138994,3.23132212185888
"959",47,2001,1.94662157164236,0.910855266115215,1.48959570036534,1.88473363091721,2.36940627514714,3.14586307959871
"960",47,2002,2.06086565110539,0.865840043556826,1.53754526638143,1.99017212486602,2.51954351670241,3.40750591101727
"961",47,2003,2.15739230461654,0.661477356908106,1.62695974575677,2.08969403585022,2.68249013659221,3.51168729195387
"962",47,2004,2.29555049534897,0.908425788611829,1.70907576968893,2.1937090629575,2.79272145486448,3.75359208790376
"963",47,2005,2.36532457414198,1.07278502623388,1.77925065522577,2.29096675914314,2.86335314868973,3.84471838534219
"964",47,2006,2.35457049632541,1.02303453136141,1.76530828009282,2.2917068810774,2.86364643718143,3.82225732327058
"965",47,2007,2.50253953626065,0.849538417262162,1.85504740714474,2.46060178472601,3.07433493453604,4.04433456980421
"966",47,2008,2.27223527757845,1.05732123873755,1.73836948755816,2.19979475532577,2.74162525125324,3.70025798576494
"967",47,2009,2.24955632932506,0.775514601526401,1.69357600308919,2.20042173724929,2.73417839270756,3.69251519599436
"968",47,2010,2.29182440397836,0.847612983191005,1.71430136122556,2.24738662738801,2.78963115804292,3.74744366497885
"969",47,2011,2.19798675883254,0.902142960355143,1.65747193229217,2.15607108857105,2.68137178592575,3.59854906057968
"970",47,2012,2.32744990197837,0.905606460740161,1.76524191840417,2.2618311390967,2.83973552012622,3.7316868487819
"971",47,2013,2.23676108943613,0.870838136521645,1.66178742790411,2.1738059933393,2.742680759259,3.66321349517605
"972",47,2014,2.27990782517102,1.04294099990527,1.71976287970669,2.2541413490452,2.77766140441159,3.63071420488255
"973",47,2015,2.14834970591393,1.02624738489823,1.5955996770154,2.06347440550322,2.63162228423254,3.53518652030002
"974",47,2016,2.41351763023263,1.1947645573812,1.79994995443924,2.34596435388023,2.94412407412189,3.9228656433136
"975",47,2017,2.46427147266822,1.23141969002134,1.8449248193821,2.41385091102731,3.01248593696208,3.83611945467215
"976",48,1993,1.18138432081199,0.716066857181839,0.977094461052817,1.16894529201586,1.36800206629806,1.71709207995396
"977",48,1994,1.14252683928627,0.679430184411322,0.917258629008545,1.12246606074664,1.32888145320681,1.71026692959236
"978",48,1995,1.22975739516198,0.772195396629818,1.00624293238769,1.17137196884498,1.39963337833988,1.84238508478832
"979",48,1996,0.989356066714763,0.562289325507767,0.80163982391629,0.953740498785014,1.13275824662348,1.45784334182078
"980",48,1997,1.02259120934191,0.636681573511965,0.812470388366893,0.982124946267373,1.16118982119804,1.55225279014758
"981",48,1998,1.04134116344773,0.585151670825383,0.826938492078752,0.988652575957728,1.19144599073758,1.59435104109518
"982",48,1999,1.00520850025662,0.587939011084531,0.805489338140423,0.970325225372295,1.15362136698872,1.5176596970849
"983",48,2000,0.986984960808833,0.577902091158653,0.787480235991469,0.935635325519885,1.13694962267843,1.44354777023633
